(u'westlaw.com', 'westlaw.vg.', 'westlaw.vg', 'wrongTLD', '167.68.6.29')
(u'westlaw.com', 'westlaw.nu.', 'westlaw.nu', 'wrongTLD', '167.68.6.29')
(u'westlaw.com', 'wertlaw.com.', 'wertlaw.com', u'bits', '50.63.202.60')
(u'westlaw.com', 'westlas.com.', 'westlas.com', u'bits', '185.53.178.9')
(u'westlaw.com', 'westla.info.', 'westla.info', u'typo', '34.198.45.144')
(u'westlaw.com', 'wwestlaw.com.', 'wwestlaw.com', u'typo', '184.168.221.37')
(u'westlaw.com', 'westlaw-singapore.org.', 'westlaw-singapore.org', 'combo', '72.52.10.14')
(u'westlaw.com', 'westlaw.cm.', 'westlaw.cm', 'wrongTLD', '185.53.178.9')
(u'westlaw.com', 'wedtlaw.com.', 'wedtlaw.com', u'typo', '173.239.8.164')
(u'westlaw.com', 'westlaw-singapore.net.', 'westlaw-singapore.net', 'combo', '72.52.10.14')
(u'westlaw.com', 'westla.us.', 'westla.us', u'typo', '34.198.45.144')
(u'westlaw.com', 'westlaw-canada.com.', 'westlaw-canada.com', 'combo', '206.130.187.148')
(u'westlaw.com', 'westlaw.net.', 'westlaw.net', 'wrongTLD', '64.225.154.175')
(u'westlaw.com', 'westlae.com.', 'westlae.com', u'typo', '67.227.226.241')
(u'westlaw.com', 'westlaw-ecarswell.com.', 'westlaw-ecarswell.com', 'combo', '167.68.20.42')
(u'westlaw.com', 'weatlaw.com.', 'weatlaw.com', u'typo', '54.72.9.51')
(u'westlaw.com', 'westlaw-singapore.com.', 'westlaw-singapore.com', 'combo', '72.52.10.14')
(u'westlaw.com', 'westlaw.cc.', 'westlaw.cc', 'wrongTLD', '167.68.7.29')
(u'westlaw.com', 'gestlaw.com.', 'gestlaw.com', u'bits', '172.81.117.82')
(u'westlaw.com', 'us-westlaw.com.', 'us-westlaw.com', 'combo', '184.168.221.59')
(u'westlaw.com', 'westla.org.', 'westla.org', u'typo', '34.198.45.144')
(u'westlaw.com', 'westlaw.hk.', 'westlaw.hk', 'wrongTLD', '72.52.10.14')
(u'westlaw.com', 'westlawn.org.', 'westlawn.org', u'typo', '98.124.199.108')
(u'westlaw.com', 'westlaw.cc.', 'westlaw.cc', 'wrongTLD', '167.68.6.29')
(u'westlaw.com', 'westla.net.', 'westla.net', u'typo', '34.198.45.144')
(u'westlaw.com', 'westlaa.com.', 'westlaa.com', u'typo', '34.198.45.144')
(u'westlaw.com', 'westzlaw.com.', 'westzlaw.com', u'typo', '192.185.29.159')
(u'westlaw.com', 'westlaw-asia.org.', 'westlaw-asia.org', 'combo', '72.52.10.14')
(u'westlaw.com', 'westlaw.ph.', 'westlaw.ph', 'wrongTLD', '72.52.10.14')
(u'westlaw.com', 'westlaw-asia.net.', 'westlaw-asia.net', 'combo', '72.52.10.14')
