(u'coursera.org', 'coursera.nl.', 'coursera.nl', 'wrongTLD', '217.70.184.38')
(u'coursera.org', 'cooursera.org.', 'cooursera.org', u'typo', '98.124.245.24')
(u'coursera.org', 'coursera.help.', 'coursera.help', 'wrongTLD', '34.230.169.43')
(u'coursera.org', 'coursera.guru.', 'coursera.guru', 'wrongTLD', '217.70.184.38')
(u'coursera.org', 'coursera.support.', 'coursera.support', 'wrongTLD', '217.70.184.38')
(u'coursera.org', 'couesera.com.', 'couesera.com', u'typo', '98.124.245.24')
(u'coursera.org', 'cursera.pw.', 'cursera.pw', u'typo', '141.8.226.58')
(u'coursera.org', 'coursera.enterprises.', 'coursera.enterprises', 'wrongTLD', '217.70.184.38')
(u'coursera.org', 'ciursera.com.', 'ciursera.com', u'homo', '199.59.242.150')
(u'coursera.org', 'coursera.recipes.', 'coursera.recipes', 'wrongTLD', '217.70.184.38')
(u'coursera.org', 'courseda.com.', 'courseda.com', u'typo', '107.154.103.77')
(u'coursera.org', 'coursira.org.', 'coursira.org', u'homo', '185.53.178.9')
(u'coursera.org', 'ceursera.org.', 'ceursera.org', u'homo', '185.53.178.6')
(u'coursera.org', 'coursera.lu.', 'coursera.lu', 'wrongTLD', '217.70.184.38')
(u'coursera.org', 'cooursera.com.', 'cooursera.com', u'typo', '72.52.4.122')
(u'coursera.org', 'coursera.exposed.', 'coursera.exposed', 'wrongTLD', '217.70.184.38')
(u'coursera.org', 'coussera.org.', 'coussera.org', u'bits', '98.124.245.24')
(u'coursera.org', 'courseda.com.', 'courseda.com', u'typo', '107.154.102.77')
(u'coursera.org', 'doursera.org.', 'doursera.org', u'typo', '185.53.178.9')
(u'coursera.org', 'coursera.domains.', 'coursera.domains', 'wrongTLD', '217.70.184.38')
(u'coursera.org', 'coutsera.org.', 'coutsera.org', u'typo', '72.52.4.122')
(u'coursera.org', 'courserao.org.', 'courserao.org', u'typo', '172.107.9.52')
(u'coursera.org', 'dev-coursera.net.', 'dev-coursera.net', 'combo', '50.63.202.57')
(u'coursera.org', 'courser.ph.', 'courser.ph', u'typo', '45.79.222.138')
(u'coursera.org', 'coursera.net.cn.', 'coursera.net.cn', 'wrongTLD', '34.196.186.133')
(u'coursera.org', 'coursera.com.ng.', 'coursera.com.ng', 'wrongTLD', '198.38.82.103')
(u'coursera.org', 'coursura.org.', 'coursura.org', u'homo', '199.59.242.150')
(u'coursera.org', 'courser.ru.', 'courser.ru', u'typo', '90.156.201.102')
(u'coursera.org', 'coursera.university.', 'coursera.university', 'wrongTLD', '217.70.184.38')
(u'coursera.org', 'courasera.org.', 'courasera.org', u'typo', '208.73.210.217')
(u'coursera.org', 'coursera.online.', 'coursera.online', 'wrongTLD', '54.72.9.51')
(u'coursera.org', 'courseras.org.', 'courseras.org', u'typo', '98.124.245.24')
(u'coursera.org', 'couraera.com.', 'couraera.com', u'typo', '199.59.242.150')
(u'coursera.org', 'coursere.pw.', 'coursere.pw', u'homo', '141.8.226.58')
(u'coursera.org', 'courssera.org.', 'courssera.org', u'typo', '185.53.179.6')
(u'coursera.org', 'courserax.org.', 'courserax.org', u'typo', '184.168.221.46')
(u'coursera.org', 'coursery.in.', 'coursery.in', u'typo', '139.59.45.61')
(u'coursera.org', 'corusera.com.', 'corusera.com', u'typo', '69.64.146.224')
(u'coursera.org', 'courseru.org.', 'courseru.org', u'homo', '50.16.53.44')
(u'coursera.org', 'coarsera.com.', 'coarsera.com', u'homo', '52.0.7.30')
(u'coursera.org', 'coursers.com.', 'coursers.com', u'typo', '69.172.201.153')
(u'coursera.org', 'courseras.com.', 'courseras.com', u'typo', '72.52.4.122')
(u'coursera.org', 'courssera.com.', 'courssera.com', u'typo', '199.59.242.150')
(u'coursera.org', 'coarsera.org.', 'coarsera.org', u'homo', '103.224.212.222')
(u'coursera.org', 'coursara.org.', 'coursara.org', u'homo', '23.23.181.85')
(u'coursera.org', 'voursera.org.', 'voursera.org', u'typo', '103.224.182.239')
(u'coursera.org', 'caursera.org.', 'caursera.org', u'homo', '199.59.242.150')
(u'coursera.org', 'corsera.tv.', 'corsera.tv', u'typo', '185.53.36.100')
(u'coursera.org', 'couresra.pw.', 'couresra.pw', u'typo', '141.8.226.58')
(u'coursera.org', 'corsera.eu.', 'corsera.eu', u'typo', '195.110.124.133')
(u'coursera.org', 'coursera.cn.', 'coursera.cn', 'wrongTLD', '34.230.169.43')
(u'coursera.org', 'coureera.com.', 'coureera.com', u'typo', '141.8.224.93')
(u'coursera.org', 'courseru.com.', 'courseru.com', u'homo', '50.16.53.44')
(u'coursera.org', 'courserra.com.', 'courserra.com', u'typo', '69.162.80.51')
(u'coursera.org', 'koursera.com.', 'koursera.com', u'bits', '185.53.178.9')
(u'coursera.org', 'coursara.com.', 'coursara.com', u'homo', '23.23.181.85')
(u'coursera.org', 'coursira.com.', 'coursira.com', u'homo', '141.8.224.169')
