(u'craigslist.org', 'craigsilst.biz.', 'craigsilst.biz', u'typo', '107.178.255.126')
(u'craigslist.org', 'austin-craigslist.org.', 'austin-craigslist.org', 'combo', '103.224.212.222')
(u'craigslist.org', 'craigslist-tickets.com.', 'craigslist-tickets.com', 'combo', '169.53.21.222')
(u'craigslist.org', 'craiggslist.com.', 'craiggslist.com', u'typo', '54.221.207.100')
(u'craigslist.org', 'braigslist.org.', 'braigslist.org', u'bits', '69.162.80.54')
(u'craigslist.org', 'craigslist-computer-gigs.com.', 'craigslist-computer-gigs.com', 'combo', '184.168.221.47')
(u'craigslist.org', 'craigsljst.com.', 'craigsljst.com', u'typo', '185.53.178.6')
(u'craigslist.org', 'craisglist.net.', 'craisglist.net', u'typo', '93.190.141.3')
(u'craigslist.org', 'craigaslist.com.', 'craigaslist.com', u'typo', '208.73.211.177')
(u'craigslist.org', 'creaigslist.com.', 'creaigslist.com', u'typo', '103.224.182.253')
(u'craigslist.org', 'craigslist-atlanta.net.', 'craigslist-atlanta.net', 'combo', '216.250.121.60')
(u'craigslist.org', 'i-hate-craigslist.com.', 'i-hate-craigslist.com', 'combo', '184.168.221.42')
(u'craigslist.org', 'cr5aigslist.com.', 'cr5aigslist.com', u'typo', '208.82.237.129')
(u'craigslist.org', 'craiqslist.com.', 'craiqslist.com', u'homo', '208.73.210.217')
(u'craigslist.org', 'crwaigslist.com.ph.', 'crwaigslist.com.ph', u'typo', '45.79.222.138')
(u'craigslist.org', 'craigslist.live.', 'craigslist.live', 'wrongTLD', '167.114.213.199')
(u'craigslist.org', 'c4raigslist.org.', 'c4raigslist.org', u'typo', '50.63.202.2')
(u'craigslist.org', 'mail.craigslist-housing.com.', 'mail.craigslist-housing.com', 'combo', '138.201.85.53')
(u'craigslist.org', 'craigslist-postingservices.com.', 'craigslist-postingservices.com', 'combo', '208.82.237.129')
(u'craigslist.org', 'craigslist-housing.com.', 'craigslist-housing.com', 'combo', '138.201.85.53')
(u'craigslist.org', 'cragislist.ca.', 'cragislist.ca', u'typo', '158.85.87.76')
(u'craigslist.org', 'my-account-craigslist.org.', 'my-account-craigslist.org', 'combo', '98.124.204.16')
(u'craigslist.org', 'ceraigslist.org.', 'ceraigslist.org', u'typo', '23.253.58.227')
(u'craigslist.org', 'craigslict.com.', 'craigslict.com', u'bits', '208.91.197.104')
(u'craigslist.org', 'craigslist-nsa.tk.', 'craigslist-nsa.tk', 'combo', '195.20.41.96')
(u'craigslist.org', 'craigslist-ad-design.com.', 'craigslist-ad-design.com', 'combo', '96.127.138.202')
(u'craigslist.org', 'www-craigslist.com.', 'www-craigslist.com', 'combo', '162.242.150.89')
(u'craigslist.org', 'craigslist-ny20.tk.', 'craigslist-ny20.tk', 'combo', '195.20.41.140')
(u'craigslist.org', 'craiogslist.com.', 'craiogslist.com', u'typo', '51.254.28.160')
(u'craigslist.org', 'craigwslist.org.', 'craigwslist.org', u'typo', '208.73.211.177')
(u'craigslist.org', 'craigskist.com.', 'craigskist.com', u'typo', '51.254.28.162')
(u'craigslist.org', 'crigslist.net.', 'crigslist.net', u'typo', '103.224.182.239')
(u'craigslist.org', 'craigslistm.com.', 'craigslistm.com', u'typo', '74.117.114.72')
